outcome,outcome_clean,temp1,melting_temp2,annealing_temp2,extension_temp2,cycles2,temp3,band_size,dna_amt,t1(sec),melting_t2(sec),annealing_t3(sec),extension_t4(sec),t5(sec),Tm_p1_p3orig,Tm_p2_p3orig,Tm_p1_p3,Tm_p2_p3,Tm_p1_BSU,Tm_p2_BSU,Tm_dif_IDT,HPin_Tm_Max,Heterodimer_tm,Homodimer_maxTm,GC_ClampMin,GC_ClampMax,MaxTm_IDT,MinTm_IDT,MaxGC,MinGC,MaxPlen,MinPlen,TotPrimer
0,0,94,94,60,72,30,72,369,0,30,30,30,30,600,55.57740558,55.57740558,55.66508473,55.66508473,60.05349259,60.05349259,0,49.49550521,12.0015098,12.0015098,39,39,55.50733886,55.50733886,57.14285714,57.14285714,21,21,0.4
1,1,94,94,60,72,30,72,369,0,30,30,30,30,600,55.25758002,59.69742,56.03074314,59.31007666,58.34179879,65.55081814,2.417681829,46.21059474,0,0,35,39,58.39474913,55.9770673,82.35294118,50,24,17,0.4
1,1,94,94,60,72,30,72,369,0,30,30,30,30,600,55.25758002,52.87936712,56.03074314,52.64102283,58.34179879,55.32760832,3.250637487,42.85456345,0,0,35,36,55.9770673,52.72642981,55,50,24,20,0.4
1,1,94,94,60,72,30,72,369,0,30,30,30,30,600,55.25758002,59.48449035,56.03074314,59.83263569,58.34179879,64.52290706,3.154313141,43.21537072,0,0,35,39,59.13138044,55.9770673,70,50,24,20,0.4
0,0,94,94,60,72,30,72,369,0,30,30,30,30,600,55.57740558,59.48449035,55.66508473,59.83263569,60.05349259,64.52290706,3.624041577,49.49550521,0,12.0015098,39,39,59.13138044,55.50733886,70,57.14285714,21,20,0.4
0,0,94,94,60,72,30,72,369,0,30,30,30,30,600,55.57740558,52.87936712,55.66508473,52.64102283,60.05349259,55.32760832,2.78090905,49.49550521,0,12.0015098,36,39,55.50733886,52.72642981,57.14285714,55,21,20,0.4
0,0,94,94,60,72,30,72,369,0,30,30,30,30,600,55.57740558,59.69742,55.66508473,59.31007666,60.05349259,65.55081814,2.887410265,49.49550521,0,12.0015098,39,39,58.39474913,55.50733886,82.35294118,57.14285714,21,17,0.4
0,0,94,94,60,72,30,72,369,0,30,30,30,30,600,55.25758002,59.69742,56.03074314,59.31007666,58.34179879,65.55081814,2.417681829,46.21059474,0,0,35,39,58.39474913,55.9770673,82.35294118,50,24,17,0.4
0,0,94,94,60,72,30,72,369,0,30,30,30,30,600,55.25758002,52.87936712,56.03074314,52.64102283,58.34179879,55.32760832,3.250637487,42.85456345,0,0,35,36,55.9770673,52.72642981,55,50,24,20,0.4
0,0,94,94,60,72,30,72,369,0,30,30,30,30,600,55.25758002,59.48449035,56.03074314,59.83263569,58.34179879,64.52290706,3.154313141,43.21537072,0,0,35,39,59.13138044,55.9770673,70,50,24,20,0.4
1,1,94,94,60,72,30,72,369,0,30,30,30,30,600,55.57740558,59.48449035,55.66508473,59.83263569,60.05349259,64.52290706,3.624041577,49.49550521,0,12.0015098,39,39,59.13138044,55.50733886,70,57.14285714,21,20,0.4
1,1,94,94,60,72,30,72,369,0,30,30,30,30,600,55.57740558,52.87936712,55.66508473,52.64102283,60.05349259,55.32760832,2.78090905,49.49550521,0,12.0015098,36,39,55.50733886,52.72642981,57.14285714,55,21,20,0.4
1,1,94,94,60,72,30,72,369,0,30,30,30,30,600,55.57740558,59.69742,55.66508473,59.31007666,60.05349259,65.55081814,2.887410265,49.49550521,0,12.0015098,39,39,58.39474913,55.50733886,82.35294118,57.14285714,21,17,0.4
1,1,94,94,60,72,30,72,369,0,30,30,30,30,600,55.25758002,59.69742,56.03074314,59.31007666,58.34179879,65.55081814,2.417681829,46.21059474,0,0,35,39,58.39474913,55.9770673,82.35294118,50,24,17,0.4
1,1,94,94,60,72,30,72,369,0,30,30,30,30,600,55.25758002,52.87936712,56.03074314,52.64102283,58.34179879,55.32760832,3.250637487,42.85456345,0,0,35,36,55.9770673,52.72642981,55,50,24,20,0.4
1,1,94,94,60,72,30,72,369,0,30,30,30,30,600,55.25758002,59.48449035,56.03074314,59.83263569,58.34179879,64.52290706,3.154313141,43.21537072,0,0,35,39,59.13138044,55.9770673,70,50,24,20,0.4
0,0,94,94,60,72,30,72,369,0,30,30,30,30,600,55.57740558,59.69742,55.66508473,59.31007666,60.05349259,65.55081814,2.887410265,49.49550521,0,12.0015098,39,39,58.39474913,55.50733886,82.35294118,57.14285714,21,17,0.4
0,0,94,94,60,72,30,72,369,0,30,30,30,30,600,55.57740558,52.87936712,55.66508473,52.64102283,60.05349259,55.32760832,2.78090905,49.49550521,0,12.0015098,36,39,55.50733886,52.72642981,57.14285714,55,21,20,0.4
0,0,94,94,60,72,30,72,369,0,30,30,30,30,600,55.57740558,59.48449035,55.66508473,59.83263569,60.05349259,64.52290706,3.624041577,49.49550521,0,12.0015098,39,39,59.13138044,55.50733886,70,57.14285714,21,20,0.4
1,0,94,94,54,72,30,72,400,200,30,30,30,30,300,56.18442342,56.18442342,56.06684679,56.06684679,60.58467732,60.58467732,0,52.61491081,0,0,37,37,55.8524042,55.8524042,66.66666667,66.66666667,18,18,0.5
1,1,98,98,71,72,27,72,1304,0.1,30,7,20,20,300,55.73764151,59.30192577,57.29464419,61.3100114,58.83324245,63.4542652,3.718548328,32.9314493,0,0,31,33,60.04255276,56.32400443,54.16666667,50,24,24,1
1,1,98,98,71,72,27,72,1304,1,30,7,20,20,300,55.73764151,59.30192577,57.29464419,61.3100114,58.83324245,63.4542652,3.718548328,32.9314493,0,0,31,33,60.04255276,56.32400443,54.16666667,50,24,24,1
1,1,98,98,71,72,27,72,1304,3,30,7,20,20,300,55.73764151,59.30192577,57.29464419,61.3100114,58.83324245,63.4542652,3.718548328,32.9314493,0,0,31,33,60.04255276,56.32400443,54.16666667,50,24,24,1
1,1,98,98,71,72,27,72,1304,0.1,30,7,20,20,300,55.73764151,59.30192577,57.29464419,61.3100114,58.83324245,63.4542652,3.718548328,32.9314493,0,0,31,33,60.04255276,56.32400443,54.16666667,50,24,24,1
1,1,98,98,71,72,27,72,1304,1,30,7,20,20,300,55.73764151,59.30192577,57.29464419,61.3100114,58.83324245,63.4542652,3.718548328,32.9314493,0,0,31,33,60.04255276,56.32400443,54.16666667,50,24,24,1
1,1,98,98,71,72,27,72,1304,3,30,7,20,20,300,55.73764151,59.30192577,57.29464419,61.3100114,58.83324245,63.4542652,3.718548328,32.9314493,0,0,31,33,60.04255276,56.32400443,54.16666667,50,24,24,1
0,0,94,94,56,65,30,65,2.5,0,30,30,45,180,600,50.35809627,52.16185166,51.09521296,52.12258639,54.4992057,54.93372124,0.75548303,47.53719957,0,0,29,33,51.41094419,50.65546116,64.70588235,57.89473684,19,17,0.8
0,0,94,94,56,65,30,65,2.5,0,30,30,45,180,600,50.35809627,52.92174815,51.09521296,54.18673348,54.4992057,55.94013033,3.304023001,42.36965016,0,0,29,40,53.95948416,50.65546116,57.89473684,47.82608696,23,19,0.8
0,0,94,94,56,65,30,65,2.5,0,30,30,45,180,600,59.51341936,52.92174815,60.8480768,54.18673348,62.7050161,55.94013033,5.887118739,39.59980048,0,0,35,40,59.8466029,53.95948416,61.9047619,47.82608696,23,21,0.8
1,0,94,94,56,65,30,65,2.5,0,30,30,45,180,600,59.51341936,52.16185166,60.8480768,52.12258639,62.7050161,54.93372124,8.43565871,47.53719957,0,0,33,35,59.8466029,51.41094419,64.70588235,61.9047619,21,17,0.8
0,0,95,95,59,72,30,72,2,50,120,30,30,270,600,62.76560389,64.70753068,65.76513386,68.37881122,68.7552524,69.84460585,2.899775735,59.75446021,0,14.07407229,37,39,66.73526699,63.83549126,57.14285714,47.5,40,28,1
1,1,98,98,72,72,29,72,2,10,30,7,20,260,600,62.76560389,64.70753068,65.89947414,68.46051072,69.77747832,70.54036677,2.753167048,60.65526483,0,14.8463714,37,39,66.89105851,64.13789146,57.14285714,47.5,40,28,1
0,0,98,98,72,72,29,72,2,1,30,7,20,260,600,62.76560389,64.70753068,65.89947414,68.46051072,69.77747832,70.54036677,2.753167048,60.65526483,0,14.8463714,37,39,66.89105851,64.13789146,57.14285714,47.5,40,28,1
1,1,98,98,72,72,29,72,2,8.4,30,7,20,260,600,62.76560389,64.70753068,65.89947414,68.46051072,69.77747832,70.54036677,2.753167048,60.65526483,0,14.8463714,37,39,66.89105851,64.13789146,57.14285714,47.5,40,28,1
1,1,98,98,72,72,29,72,2,4.2,30,7,20,260,600,62.76560389,64.70753068,65.89947414,68.46051072,69.77747832,70.54036677,2.753167048,60.65526483,0,14.8463714,37,39,66.89105851,64.13789146,57.14285714,47.5,40,28,1
1,1,98,98,72,72,29,72,2,5,30,7,20,260,600,62.76560389,64.70753068,65.89947414,68.46051072,69.77747832,70.54036677,2.753167048,60.65526483,0,14.8463714,37,39,66.89105851,64.13789146,57.14285714,47.5,40,28,1
1,1,98,98,72,72,29,72,2,1,30,7,20,260,600,62.76560389,64.70753068,65.89947414,68.46051072,69.77747832,70.54036677,2.753167048,60.65526483,0,14.8463714,37,39,66.89105851,64.13789146,57.14285714,47.5,40,28,1
1,1,98,98,72,72,29,72,2,0.1,30,7,20,260,600,62.76560389,64.70753068,65.89947414,68.46051072,69.77747832,70.54036677,2.753167048,60.65526483,0,14.8463714,37,39,66.89105851,64.13789146,57.14285714,47.5,40,28,1
1,0,94,94,54,72,30,72,400,200,30,30,30,30,300,56.18442342,56.18442342,56.06684679,56.06684679,60.58467732,60.58467732,0,52.61491081,0,0,37,37,55.8524042,55.8524042,66.66666667,66.66666667,18,18,0.5
1,1,94,94,55,68,35,68,1038,0,60,30,30,70,300,53.20308899,56.35470438,53.15595103,57.02174016,58.34645623,60.75346569,3.947450472,50.76293616,0,0,32,37,56.9123769,52.96492643,66.66666667,54.54545455,22,18,0.5
1,1,94,94,55,68,35,68,1038,0,60,30,30,70,300,53.20308899,56.35470438,53.15595103,57.02174016,58.34645623,60.75346569,3.947450472,50.76293616,0,0,32,37,56.9123769,52.96492643,66.66666667,54.54545455,22,18,0.5
1,1,94,94,55,68,35,68,736,0,60,30,30,70,300,53.80357062,47.01456184,54.25322801,46.12150662,57.51611603,48.95539059,7.706506034,35.28733166,0,0,34,34,54.39440293,46.68789689,52.38095238,50,21,18,0.5
1,1,94,94,55,68,35,68,736,0,60,30,30,70,300,53.80357062,47.01456184,54.25322801,46.12150662,57.51611603,48.95539059,7.706506034,35.28733166,0,0,34,34,54.39440293,46.68789689,52.38095238,50,21,18,0.5
